postcode,dry,dry,dry,dry,mix,mix,mix,mix,fresh,fresh,fresh,fresh
,5,10,15,20,5,10,15,20,5,10,15,20
10200,80,100,170,325,150,170,190,190,210,260,350,380
10300,80,100,170,325,150,170,190,190,210,260,340,380
10530,80,100,170,325,150,170,190,190,210,260,340,380
10500,80,100,170,325,150,170,190,190,210,260,340,380
10220,80,100,170,325,150,170,190,190,210,260,340,380
10240,80,100,170,325,150,170,190,190,210,260,340,380
10330,80,100,170,325,150,170,190,190,210,260,340,380
10100,80,100,170,325,150,170,190,190,210,260,340,380
10260,80,100,170,325,150,170,190,190,210,260,340,380
10510,80,100,170,325,150,170,190,190,210,260,340,380
10520,80,100,170,325,150,170,190,190,210,260,340,380
10120,80,100,170,325,150,170,190,190,210,260,340,380
10400,80,100,170,325,150,170,190,190,210,260,340,380
10600,80,100,170,325,150,170,190,190,210,260,340,380
10310,80,100,170,325,150,170,190,190,210,260,340,380
10170,80,100,170,325,150,170,190,190,210,260,340,380
10700,80,100,170,325,150,170,190,190,210,260,340,380
10150,80,100,170,325,150,170,190,190,210,260,340,380
10160,80,100,170,325,150,170,190,190,210,260,340,380
10140,80,100,170,325,150,170,190,190,210,260,340,380
10800,80,100,170,325,150,170,190,190,210,260,340,380
10900,80,100,170,325,150,170,190,190,210,260,340,380
10250,80,100,170,325,150,170,190,190,210,260,340,380
10110,80,100,170,325,150,170,190,190,210,260,340,380
10210,80,100,170,325,150,170,190,190,210,260,340,380
10230,80,100,170,325,150,170,190,190,210,260,340,380
10270,80,100,170,325,150,170,190,190,210,260,340,380
10280,80,100,170,325,150,170,190,190,210,260,340,380
10560,80,100,170,325,150,170,190,190,210,260,340,380
10550,80,100,170,325,150,170,190,190,210,260,340,380
10540,80,100,170,325,150,170,190,190,210,260,340,380
10130,80,100,170,325,150,170,190,190,210,260,340,380
10290,80,100,170,325,150,170,190,190,210,260,340,380
11000,80,100,170,325,150,170,190,190,210,260,340,380
11130,80,100,170,325,150,170,190,190,210,260,340,380
11140,80,100,170,325,150,170,190,190,210,260,340,380
11110,80,100,170,325,150,170,190,190,210,260,340,380
11150,80,100,170,325,150,170,190,190,210,260,340,380
11120,80,100,170,325,150,170,190,190,210,260,340,380
12000,80,100,170,325,150,170,190,190,210,260,340,380
12120,80,100,170,325,150,170,190,190,210,260,340,380
12130,80,100,170,325,150,170,190,190,210,260,340,380
12110,80,100,170,325,150,170,190,190,210,260,340,380
12170,80,100,170,325,150,170,190,190,210,260,340,380
12140,80,100,170,325,150,170,190,190,210,260,340,380
12150,80,100,170,325,150,170,190,190,210,260,340,380
12160,80,100,170,325,150,170,190,190,210,260,340,380
13000,95,110,200,365,150,170,190,190,210,260,340,380
13130,95,110,200,365,150,170,190,190,210,260,340,380
13260,95,110,200,365,150,170,190,190,210,260,340,380
13190,95,110,200,365,150,170,190,190,210,260,340,380
13290,95,110,200,365,150,170,190,190,210,260,340,380
13250,95,110,200,365,150,170,190,190,210,260,340,380
13160,95,110,200,365,150,170,190,190,210,260,340,380
13180,95,110,200,365,150,170,190,190,210,260,340,380
13170,95,110,200,365,150,170,190,190,210,260,340,380
13220,95,110,200,365,150,170,190,190,210,260,340,380
13120,95,110,200,365,150,170,190,190,210,260,340,380
13280,95,110,200,365,150,170,190,190,210,260,340,380
13140,95,110,200,365,150,170,190,190,210,260,340,380
13230,95,110,200,365,150,170,190,190,210,260,340,380
13110,95,110,200,365,150,170,190,190,210,260,340,380
13270,95,110,200,365,150,170,190,190,210,260,340,380
13210,95,110,200,365,150,170,190,190,210,260,340,380
13150,95,110,200,365,150,170,190,190,210,260,340,380
13240,95,110,200,365,150,170,190,190,210,260,340,380
14000,95,110,200,365,150,170,190,190,210,260,340,380
14140,95,110,200,365,150,170,190,190,210,260,340,380
14130,95,110,200,365,150,170,190,190,210,260,340,380
14120,95,110,200,365,150,170,190,190,210,260,340,380
14150,95,110,200,365,150,170,190,190,210,260,340,380
14110,95,110,200,365,150,170,190,190,210,260,340,380
14160,95,110,200,365,150,170,190,190,210,260,340,380
15000,95,110,200,365,150,170,190,190,210,260,340,380
15160,95,110,200,365,150,170,190,190,210,260,340,380
15210,95,110,200,365,150,170,190,190,210,260,340,380
15140,95,110,200,365,150,170,190,190,210,260,340,380
15220,95,110,200,365,150,170,190,190,210,260,340,380
18220,95,110,200,365,150,170,190,190,210,260,340,380
15120,95,110,200,365,150,170,190,190,210,260,340,380
15130,95,110,200,365,150,170,190,190,210,260,340,380
15230,95,110,200,365,150,170,190,190,210,260,340,380
15190,95,110,200,365,150,170,190,190,210,260,340,380
15150,95,110,200,365,150,170,190,190,210,260,340,380
15180,95,110,200,365,150,170,190,190,210,260,340,380
15110,95,110,200,365,150,170,190,190,210,260,340,380
15240,95,110,200,365,150,170,190,190,210,260,340,380
15250,95,110,200,365,150,170,190,190,210,260,340,380
15170,95,110,200,365,150,170,190,190,210,260,340,380
16000,95,110,200,365,150,170,190,190,210,260,340,380
16130,95,110,200,365,150,170,190,190,210,260,340,380
16150,95,110,200,365,150,170,190,190,210,260,340,380
16120,95,110,200,365,150,170,190,190,210,260,340,380
16160,95,110,200,365,150,170,190,190,210,260,340,380
16140,95,110,200,365,150,170,190,190,210,260,340,380
16110,95,110,200,365,150,170,190,190,210,260,340,380
17000,95,110,200,365,220,240,260,260,350,390,450,530
17110,95,110,200,365,220,240,260,260,350,390,450,530
17170,95,110,200,365,220,240,260,260,350,390,450,530
17120,95,110,200,365,220,240,260,260,350,390,450,530
17150,95,110,200,365,220,240,260,260,350,390,450,530
17140,95,110,200,365,220,240,260,260,350,390,450,530
17130,95,110,200,365,220,240,260,260,350,390,450,530
17160,95,110,200,365,220,240,260,260,350,390,450,530
18000,95,110,200,365,150,170,190,190,210,260,340,380
18110,95,110,200,365,150,170,190,190,210,260,340,380
18260,95,110,200,365,150,170,190,190,210,260,340,380
18140,95,110,200,365,150,170,190,190,210,260,340,380
18250,95,110,200,365,150,170,190,190,210,260,340,380
